english,malay,definition
accuracy,ketepatan; kejituan,"Metrik penilaian yang mengukur pecahan ramalan yang betul berbanding jumlah ramalan yang dibuat, memberikan gambaran keseluruhan tentang prestasi model dalam tugas pengelasan."
activation,pengaktifan,"Output tidak linear dari neuron dalam rangkaian neural, dihasilkan dengan menggunakan fungsi pengaktifan pada hasil tambah input berpemberat."
activation function,fungsi pengaktifan,"Fungsi matematik yang digunakan dalam rangkaian neural untuk memperkenalkan ketaklinearan dan menentukan output bagi setiap neuron, seperti fungsi sigmoid, tangen hiperbolik (tanh), atau ReLU."
AdaBoost,Adaptive Boosting; pengalakkan penyesuaian,"Algoritma boosting yang menggabungkan banyak pengelas lemah kepada satu pengelas yang kuat, di mana pemberat sampel diselaraskan pada setiap lelaran untuk memberi tumpuan pada contoh yang susah diklasifikasikan."
Adam,,"Algoritma pengoptimuman yang menggabungkan konsep daripada RMSProp dan Momentum, menyesuaikan kadar pembelajaran bagi setiap parameter berdasarkan anggaran momen tertib pertama dan kedua kecerunan."
adam optimizer,,"Algoritma pengoptimuman yang menggabungkan konsep daripada RMSProp dan Momentum, menyesuaikan kadar pembelajaran bagi setiap parameter berdasarkan anggaran momen tertib pertama dan kedua kecerunan."
Adaptive resonance theory,,"Kelas rangkaian neural yang diilhamkan secara biologi yang mampu belajar secara tak segerak dan stabil dalam persekitaran yang berubah-ubah, dengan mengekalkan keseimbangan antara keupayaan belajar dan kestabilan perwakilan."
adversarial examples,contoh berlawanan,"Sampel input yang diubah suai secara khusus untuk memperdayakan model pembelajaran mesin agar membuat kesalahan pengelasan, sering digunakan untuk menilai dan meningkatkan keteguhan model."
adversarial training,latihan berlawanan,Teknik latihan di mana contoh berlawanan (adversarial examples) sengaja dijana dan dimasukkan ke dalam set latihan untuk meningkatkan keteguhan model terhadap serangan berlawanan.
agent,ejen,"Program komputer atau entiti yang bertindak secara autonomi bagi pihak pengguna, sistem, atau program lain untuk melaksanakan tugas tertentu."
algorithm,algorithma,Satu set arahan yang ditakrifkan dengan tepat atau langkah-langkah logikal teratur yang digunakan untuk menyelesaikan masalah atau melaksanakan tugas pengiraan dalam sains komputer dan teknologi maklumat.
anomaly,janggal; anomali,"Pemerhatian atau titik data yang berbeza dengan ketara daripada norma atau jangkaan, sering menunjukkan tingkah laku luar biasa, kesilapan, atau nilai terpencil dalam set data."
